Data;Valor;Descrição
08/02/2019;49.472,62;Decrição produto 0621
16/05/2018;13.200,86;Decrição produto 3829
22/10/2018;5.745,82;Decrição produto 0277
07/03/2019;12.734,57;Decrição produto 9385
09/09/2018;68.901,85;Decrição produto 4776
11/04/2019;69.947,4;Decrição produto 3130
21/07/2019;93.658,75;Decrição produto 6531
29/08/2018;58.661,67;Decrição produto 3496
05/11/2018;74.305,24;Decrição produto 9653
14/10/2018;43.212,62;Decrição produto 0103
18/04/2019;4.378,74;Decrição produto 2228
08/01/2019;36.722,18;Decrição produto 7478
28/07/2019;69.192,77;Decrição produto 2116
28/09/2018;78.139,46;Decrição produto 6546
11/05/2018;5.245,78;Decrição produto 1405
24/02/2019;52.510,75;Decrição produto 7700
14/07/2018;31.470,39;Decrição produto 4625
06/12/2018;64.903,56;Decrição produto 6501
03/01/2019;90.828,1;Decrição produto 2198
13/07/2018;35.486,36;Decrição produto 7515
01/02/2019;96.848,65;Decrição produto 6977
18/05/2019;2.692,76;Decrição produto 8181
24/03/2019;44.627,54;Decrição produto 2726
05/08/2018;94.737,20;Decrição produto 9523
13/08/2018;95.454,14;Decrição produto 2924
07/03/2019;61.482,21;Decrição produto 7622
19/04/2019;52.770,73;Decrição produto 0016
12/02/2019;75.603,80;Decrição produto 9373
19/10/2018;42.485,88;Decrição produto 9348
29/07/2018;5.241,78;Decrição produto 1156
25/01/2019;0.699,82;Decrição produto 3488
05/09/2018;97.161,85;Decrição produto 2856
02/07/2018;91.594,64;Decrição produto 5586
23/08/2018;85.813,0;Decrição produto 8051
17/04/2019;2.755,88;Decrição produto 4414
10/04/2019;46.870,95;Decrição produto 7921
02/01/2019;6.872,81;Decrição produto 9401
07/08/2019;39.264,60;Decrição produto 6226
01/09/2019;15.438,53;Decrição produto 1717
17/12/2018;18.656,3;Decrição produto 6710
07/05/2018;31.742,50;Decrição produto 8223
12/09/2018;55.972,48;Decrição produto 6174
28/07/2018;61.501,68;Decrição produto 6290
25/08/2018;42.234,14;Decrição produto 6140
12/06/2019;37.916,37;Decrição produto 7690
15/10/2018;5.290,49;Decrição produto 5199
05/05/2019;61.226,29;Decrição produto 2202
24/07/2018;84.828,41;Decrição produto 5386
01/01/2019;23.963,43;Decrição produto 1411
03/10/2018;14.378,69;Decrição produto 9814
01/09/2019;49.354,99;Decrição produto 1598
19/03/2019;27.301,65;Decrição produto 0666
02/08/2018;14.870,76;Decrição produto 6907
07/11/2018;78.642,86;Decrição produto 9777
31/03/2019;67.106,77;Decrição produto 8013
12/01/2019;72.879,9;Decrição produto 1163
27/03/2019;98.193,17;Decrição produto 8882
08/02/2019;32.764,82;Decrição produto 6737
10/08/2018;89.517,22;Decrição produto 0391
09/09/2019;4.809,83;Decrição produto 4136
06/12/2018;28.111,86;Decrição produto 4676
11/04/2019;87.100,97;Decrição produto 8200
02/09/2019;89.355,31;Decrição produto 5400
03/01/2019;26.689,77;Decrição produto 8694
25/06/2018;13.559,71;Decrição produto 6458
02/09/2019;64.826,36;Decrição produto 1191
13/11/2018;66.656,69;Decrição produto 4595
25/05/2018;34.168,12;Decrição produto 9551
11/05/2019;0.572,25;Decrição produto 3905
28/04/2019;1.684,84;Decrição produto 6275
05/07/2019;4.772,19;Decrição produto 7660
09/06/2018;83.457,28;Decrição produto 4926
21/10/2018;58.855,82;Decrição produto 0145
09/02/2019;99.471,7;Decrição produto 0532
21/09/2018;39.120,57;Decrição produto 6897
30/07/2018;43.893,12;Decrição produto 7733
02/08/2019;98.254,27;Decrição produto 6528
31/12/2018;24.216,98;Decrição produto 4462
02/09/2019;7.374,99;Decrição produto 3203
30/07/2019;48.325,18;Decrição produto 8715
26/07/2018;78.789,70;Decrição produto 6603
17/04/2019;8.318,48;Decrição produto 7689
07/08/2019;62.153,99;Decrição produto 1651
14/04/2019;44.178,64;Decrição produto 2278
30/08/2019;99.708,37;Decrição produto 3773
19/06/2019;15.877,56;Decrição produto 0386
25/10/2018;29.902,86;Decrição produto 0462
08/05/2019;91.256,64;Decrição produto 3592
09/05/2018;5.444,58;Decrição produto 0983
01/08/2019;74.734,92;Decrição produto 4337
19/06/2018;9.429,78;Decrição produto 5046
28/03/2019;24.756,50;Decrição produto 6059
22/10/2018;20.925,42;Decrição produto 3978
29/01/2019;46.175,69;Decrição produto 6539
23/02/2019;2.324,63;Decrição produto 2386
25/08/2018;63.483,60;Decrição produto 1539
02/07/2018;89.960,17;Decrição produto 1957
29/07/2019;81.841,20;Decrição produto 9287
11/05/2018;4.460,91;Decrição produto 0402
27/12/2018;96.167,40;Decrição produto 7092
29/12/2018;5.130,17;Decrição produto 7957
08/10/2018;51.504,70;Decrição produto 7199
09/11/2018;8.966,31;Decrição produto 3088
23/10/2018;66.229,48;Decrição produto 4435
28/05/2019;90.899,3;Decrição produto 4346
29/01/2019;41.775,14;Decrição produto 8309
09/02/2019;98.955,67;Decrição produto 7568
27/08/2018;83.200,6;Decrição produto 9794
08/12/2018;1.345,18;Decrição produto 6038
31/12/2018;1.314,31;Decrição produto 3264
30/07/2019;45.607,34;Decrição produto 7768
13/01/2019;63.529,61;Decrição produto 6075
07/05/2019;21.975,59;Decrição produto 8583
30/12/2018;50.115,91;Decrição produto 5086
10/07/2018;76.834,12;Decrição produto 3345
23/05/2018;3.546,47;Decrição produto 5635
09/03/2019;34.492,84;Decrição produto 3575
11/10/2018;66.734,2;Decrição produto 3985
06/12/2018;28.175,42;Decrição produto 2622
01/08/2019;87.107,21;Decrição produto 4341
19/08/2019;81.594,11;Decrição produto 6483
05/08/2018;85.270,92;Decrição produto 0904
24/02/2019;13.122,81;Decrição produto 0491
16/12/2018;65.643,24;Decrição produto 9905
03/01/2019;72.242,88;Decrição produto 2387
03/04/2019;46.757,69;Decrição produto 5713
28/11/2018;85.187,8;Decrição produto 3355
13/08/2018;44.406,58;Decrição produto 5791
03/01/2019;16.258,3;Decrição produto 2542
07/07/2018;78.404,76;Decrição produto 6473
22/11/2018;77.689,96;Decrição produto 3600
25/08/2018;42.325,52;Decrição produto 6137
09/11/2018;45.445,83;Decrição produto 1133
27/01/2019;79.563,90;Decrição produto 8508
03/06/2018;3.880,62;Decrição produto 3538
07/01/2019;71.919,57;Decrição produto 2302
25/08/2019;67.318,94;Decrição produto 8323
03/07/2019;46.270,12;Decrição produto 3296
11/05/2019;79.403,12;Decrição produto 5237
14/11/2018;8.934,72;Decrição produto 8423
10/05/2019;96.304,86;Decrição produto 7607
27/07/2019;73.886,6;Decrição produto 5854
07/09/2018;51.216,21;Decrição produto 4794
26/11/2018;11.626,26;Decrição produto 3846
28/05/2019;71.730,32;Decrição produto 9102
25/06/2018;76.400,48;Decrição produto 4432
24/03/2019;64.898,21;Decrição produto 9994
10/07/2019;63.354,78;Decrição produto 9694
27/12/2018;7.247,84;Decrição produto 0910
15/07/2019;86.947,52;Decrição produto 6726
17/05/2018;42.330,90;Decrição produto 6188
29/03/2019;13.234,54;Decrição produto 2415
17/06/2018;46.114,73;Decrição produto 2116
11/02/2019;94.968,77;Decrição produto 4494
01/08/2019;86.701,9;Decrição produto 4914
28/04/2019;33.563,74;Decrição produto 2264
02/06/2018;67.803,85;Decrição produto 1798
13/03/2019;91.361,90;Decrição produto 8736
10/05/2019;69.281,14;Decrição produto 9010
16/03/2019;8.781,28;Decrição produto 4023
07/11/2018;44.386,86;Decrição produto 5813
01/07/2019;40.996,41;Decrição produto 0767
30/08/2019;47.895,36;Decrição produto 4746
06/12/2018;19.825,38;Decrição produto 0667
21/10/2018;32.254,34;Decrição produto 2587
09/07/2018;9.401,43;Decrição produto 6649
07/09/2018;62.350,68;Decrição produto 0057
12/09/2018;3.136,6;Decrição produto 2468
29/05/2019;49.227,49;Decrição produto 2462
02/02/2019;58.862,19;Decrição produto 2841
29/03/2019;60.637,6;Decrição produto 6812
11/08/2019;6.221,32;Decrição produto 0734
22/11/2018;34.303,28;Decrição produto 2434
02/04/2019;91.697,29;Decrição produto 7418
24/06/2019;14.534,93;Decrição produto 9874
15/07/2018;74.798,83;Decrição produto 7763
23/07/2019;9.901,55;Decrição produto 0412
06/03/2019;80.265,9;Decrição produto 7715
07/04/2019;3.338,88;Decrição produto 8586
13/04/2019;6.935,60;Decrição produto 6937
18/01/2019;73.326,54;Decrição produto 5969
15/01/2019;6.772,1;Decrição produto 5166
26/09/2018;53.915,27;Decrição produto 7812
25/02/2019;92.724,75;Decrição produto 6199
15/06/2019;12.561,77;Decrição produto 4882
14/04/2019;40.310,33;Decrição produto 9644
25/02/2019;20.781,46;Decrição produto 6877
13/08/2018;94.637,26;Decrição produto 2901
20/09/2018;49.214,24;Decrição produto 9214
19/07/2018;84.423,93;Decrição produto 2741
02/11/2018;21.769,79;Decrição produto 0655
17/06/2019;82.366,62;Decrição produto 3265
28/12/2018;73.296,24;Decrição produto 5047
01/04/2019;53.383,64;Decrição produto 2890
08/12/2018;47.556,18;Decrição produto 6153
01/09/2019;67.143,66;Decrição produto 1622
05/05/2018;42.593,19;Decrição produto 7588
06/08/2018;59.650,82;Decrição produto 3801
03/07/2018;38.264,89;Decrição produto 7413
16/12/2018;18.325,1;Decrição produto 0476
08/07/2019;81.849,58;Decrição produto 6038
20/08/2019;68.332,79;Decrição produto 5525
22/12/2018;64.212,55;Decrição produto 8026
31/05/2019;75.834,54;Decrição produto 3701
21/09/2018;97.515,61;Decrição produto 6567
02/11/2018;10.638,32;Decrição produto 2587
17/02/2019;76.221,54;Decrição produto 0608
10/06/2019;57.331,25;Decrição produto 6035
05/06/2018;25.553,61;Decrição produto 1073
12/06/2018;74.377,10;Decrição produto 2884
04/02/2019;74.602,60;Decrição produto 7914
01/10/2018;57.185,38;Decrição produto 3487
12/08/2018;41.716,1;Decrição produto 3642
11/05/2018;21.149,37;Decrição produto 9282
29/06/2019;33.519,11;Decrição produto 8862
02/05/2019;82.175,72;Decrição produto 1721
19/03/2019;42.117,36;Decrição produto 2161
21/04/2019;73.612,5;Decrição produto 0459
25/03/2019;87.482,70;Decrição produto 5590
23/05/2018;72.853,4;Decrição produto 8110
25/06/2019;26.778,30;Decrição produto 1317
18/10/2018;1.297,50;Decrição produto 7522
11/05/2018;97.949,11;Decrição produto 2137
11/09/2018;71.176,65;Decrição produto 7193
14/07/2018;71.916,46;Decrição produto 9767
30/07/2018;49.979,46;Decrição produto 8297
20/10/2018;82.874,7;Decrição produto 7379
16/09/2018;96.183,52;Decrição produto 7817
03/05/2019;66.444,82;Decrição produto 9103
15/08/2019;50.432,77;Decrição produto 2574
26/11/2018;85.211,30;Decrição produto 7346
23/06/2018;43.187,94;Decrição produto 5436
23/05/2019;6.534,18;Decrição produto 8396
06/12/2018;95.666,60;Decrição produto 4737
01/12/2018;25.649,5;Decrição produto 1031
04/07/2019;45.243,66;Decrição produto 1944
07/05/2019;5.442,37;Decrição produto 4668
05/03/2019;35.833,80;Decrição produto 5036
14/09/2018;10.521,15;Decrição produto 6774
19/09/2018;8.718,52;Decrição produto 1803
12/10/2018;84.485,39;Decrição produto 3888
25/07/2019;53.879,40;Decrição produto 3616
25/06/2018;29.182,87;Decrição produto 5824
27/08/2018;80.976,40;Decrição produto 5155
29/06/2019;20.386,21;Decrição produto 1844
07/03/2019;26.998,88;Decrição produto 2965
30/08/2018;28.652,16;Decrição produto 3266
27/08/2019;7.985,41;Decrição produto 7822
23/12/2018;32.717,32;Decrição produto 5239
12/06/2018;57.522,51;Decrição produto 2085
27/05/2019;50.620,5;Decrição produto 0341
20/06/2019;7.273,63;Decrição produto 0570
18/10/2018;96.329,47;Decrição produto 2565
19/04/2019;17.220,90;Decrição produto 7126
14/05/2018;38.276,82;Decrição produto 1144
19/08/2019;23.733,73;Decrição produto 8662
20/09/2018;14.902,34;Decrição produto 3415
15/01/2019;33.475,14;Decrição produto 0293
30/08/2018;63.924,15;Decrição produto 8749
22/05/2018;75.675,54;Decrição produto 0095
30/03/2019;36.815,53;Decrição produto 7468
01/09/2018;60.631,5;Decrição produto 6892
10/07/2018;27.676,86;Decrição produto 6720
08/06/2018;12.955,27;Decrição produto 8530
08/05/2019;33.348,52;Decrição produto 2023
31/05/2019;63.126,2;Decrição produto 4812
23/06/2018;56.232,71;Decrição produto 5851
19/05/2018;56.681,92;Decrição produto 1211
09/08/2018;36.664,84;Decrição produto 9348
03/03/2019;42.801,46;Decrição produto 8048
07/08/2018;12.205,30;Decrição produto 0224
15/08/2018;47.168,20;Decrição produto 1686
24/06/2018;62.104,86;Decrição produto 1818
04/11/2018;87.865,87;Decrição produto 5026
02/05/2018;63.322,69;Decrição produto 6881
09/05/2018;49.875,20;Decrição produto 9298
19/12/2018;46.618,52;Decrição produto 8669
21/11/2018;97.246,7;Decrição produto 1212
18/06/2019;67.868,38;Decrição produto 2350
21/01/2019;51.132,81;Decrição produto 3318
12/06/2019;55.257,79;Decrição produto 4828
13/01/2019;73.277,24;Decrição produto 9554
22/01/2019;38.604,54;Decrição produto 7091
23/06/2019;33.161,9;Decrição produto 2584
09/11/2018;8.113,31;Decrição produto 2398
05/08/2019;48.896,20;Decrição produto 8952
28/09/2018;81.257,59;Decrição produto 6701
30/04/2019;93.470,42;Decrição produto 9458
23/06/2019;77.347,95;Decrição produto 1953
02/08/2018;6.333,53;Decrição produto 8141
27/12/2018;49.968,88;Decrição produto 0223
20/06/2019;21.555,85;Decrição produto 8586
17/09/2018;83.130,63;Decrição produto 3592
14/11/2018;66.200,49;Decrição produto 5806
13/04/2019;3.539,63;Decrição produto 5368
19/06/2018;77.798,49;Decrição produto 6998
16/10/2018;5.285,50;Decrição produto 5823
15/02/2019;89.735,80;Decrição produto 7279
17/01/2019;96.125,59;Decrição produto 4096
12/12/2018;32.826,16;Decrição produto 3557
03/08/2019;15.621,97;Decrição produto 8467
07/04/2019;69.139,39;Decrição produto 5286
27/02/2019;64.200,75;Decrição produto 1171
11/12/2018;71.355,68;Decrição produto 6933
20/08/2019;16.461,80;Decrição produto 8716
18/06/2019;65.917,97;Decrição produto 7133
18/02/2019;88.762,40;Decrição produto 3280
27/08/2018;98.231,11;Decrição produto 1409
30/07/2018;56.973,28;Decrição produto 3501
15/07/2018;62.185,16;Decrição produto 4667
27/08/2018;28.700,17;Decrição produto 7166
10/08/2018;28.662,72;Decrição produto 0124
15/01/2019;26.500,40;Decrição produto 6123
29/09/2018;51.646,32;Decrição produto 9975
09/07/2019;95.468,64;Decrição produto 9177
27/07/2019;17.677,93;Decrição produto 0155
24/06/2018;67.293,19;Decrição produto 0922
30/09/2018;88.598,13;Decrição produto 5779
28/08/2018;27.877,35;Decrição produto 7026
04/03/2019;29.419,53;Decrição produto 7660
06/05/2018;67.244,71;Decrição produto 5483
27/11/2018;81.430,7;Decrição produto 8565
25/05/2019;97.698,77;Decrição produto 9198
20/08/2019;65.885,9;Decrição produto 3286
16/05/2018;10.109,95;Decrição produto 4466
26/08/2019;19.369,8;Decrição produto 1479
10/10/2018;72.368,87;Decrição produto 3877
08/02/2019;50.863,83;Decrição produto 2267
20/05/2019;5.327,23;Decrição produto 1110
15/08/2019;73.570,20;Decrição produto 7410
13/03/2019;0.313,41;Decrição produto 7535
24/11/2018;70.290,58;Decrição produto 3961
18/07/2019;25.655,36;Decrição produto 1781
08/04/2019;50.579,20;Decrição produto 4742
23/06/2019;54.286,82;Decrição produto 1978
05/06/2018;69.903,9;Decrição produto 0739
03/02/2019;16.713,48;Decrição produto 1449
01/10/2018;73.603,36;Decrição produto 6293
13/06/2018;6.351,15;Decrição produto 6276
16/04/2019;36.579,23;Decrição produto 7483
03/05/2019;24.930,43;Decrição produto 2981
04/02/2019;27.654,22;Decrição produto 2067
01/07/2018;5.194,13;Decrição produto 0945
08/07/2019;48.496,16;Decrição produto 3736
14/12/2018;99.521,94;Decrição produto 5577
26/04/2019;75.398,59;Decrição produto 6127
13/08/2018;34.261,62;Decrição produto 6246
06/12/2018;34.438,28;Decrição produto 1008
08/03/2019;36.824,34;Decrição produto 1818
27/05/2019;46.722,54;Decrição produto 9758
03/10/2018;10.909,85;Decrição produto 7737
20/03/2019;95.981,8;Decrição produto 1566
05/08/2018;55.251,7;Decrição produto 0063
20/05/2018;41.432,36;Decrição produto 0700
28/12/2018;77.356,34;Decrição produto 0290
16/05/2019;43.944,58;Decrição produto 3781
31/12/2018;97.738,87;Decrição produto 1601
21/07/2018;52.858,96;Decrição produto 6534
18/01/2019;39.812,58;Decrição produto 5615
03/09/2018;81.228,96;Decrição produto 6192
12/09/2019;36.341,50;Decrição produto 7959
18/01/2019;39.419,92;Decrição produto 4253
12/11/2018;2.667,81;Decrição produto 0969
05/06/2018;36.925,99;Decrição produto 2437
27/06/2018;8.197,36;Decrição produto 1832
11/07/2019;46.369,93;Decrição produto 2713
23/03/2019;53.481,53;Decrição produto 1753
01/09/2018;83.617,25;Decrição produto 8183
19/01/2019;23.921,43;Decrição produto 1264
10/04/2019;34.439,46;Decrição produto 5189
09/08/2019;10.489,30;Decrição produto 3681
31/08/2019;61.470,83;Decrição produto 8297
26/10/2018;26.377,59;Decrição produto 7471
14/05/2019;87.552,3;Decrição produto 9070
30/07/2019;96.362,77;Decrição produto 7163
21/09/2018;21.396,3;Decrição produto 3740
23/11/2018;22.787,95;Decrição produto 5040
23/10/2018;29.820,71;Decrição produto 1964
07/06/2019;56.424,88;Decrição produto 2762
31/03/2019;39.742,58;Decrição produto 0895
09/06/2019;96.921,74;Decrição produto 6938
04/08/2018;49.602,84;Decrição produto 9204
10/11/2018;7.613,30;Decrição produto 6275
16/06/2019;14.548,73;Decrição produto 4528
23/01/2019;73.485,43;Decrição produto 6671
17/05/2019;74.472,98;Decrição produto 8269
09/01/2019;74.513,61;Decrição produto 3151
09/03/2019;69.552,67;Decrição produto 0478
08/06/2018;6.251,29;Decrição produto 3443
14/03/2019;96.508,82;Decrição produto 1665
27/06/2018;48.760,27;Decrição produto 2143
20/08/2019;88.973,14;Decrição produto 4540
13/07/2018;88.329,99;Decrição produto 7591
10/06/2018;13.476,90;Decrição produto 0878
09/02/2019;0.455,46;Decrição produto 1470
27/08/2019;67.157,43;Decrição produto 0617
13/08/2018;81.257,27;Decrição produto 1581
11/10/2018;50.440,37;Decrição produto 0641
25/05/2019;31.914,58;Decrição produto 8872
14/05/2019;71.688,92;Decrição produto 6754
01/10/2018;18.382,3;Decrição produto 8250
22/02/2019;92.130,72;Decrição produto 9437
11/06/2018;21.299,3;Decrição produto 0741
05/07/2018;82.254,67;Decrição produto 3432
09/06/2019;9.219,43;Decrição produto 1754
23/03/2019;80.619,76;Decrição produto 5064
06/07/2019;65.934,80;Decrição produto 9391
04/07/2019;35.684,63;Decrição produto 5031
23/04/2019;35.291,0;Decrição produto 5307
26/09/2018;53.801,10;Decrição produto 3550
30/11/2018;88.135,82;Decrição produto 3737
03/06/2019;15.429,97;Decrição produto 1757
20/01/2019;37.468,93;Decrição produto 2818
06/07/2019;82.589,64;Decrição produto 0120
14/05/2018;77.372,95;Decrição produto 5056
30/06/2018;92.993,85;Decrição produto 1481
05/09/2019;88.676,41;Decrição produto 1761
20/03/2019;85.750,10;Decrição produto 9027
25/11/2018;83.196,19;Decrição produto 9007
10/08/2018;40.221,63;Decrição produto 2050
04/11/2018;15.938,52;Decrição produto 6135
13/01/2019;86.247,2;Decrição produto 0781
31/05/2018;27.694,32;Decrição produto 2505
11/08/2018;73.232,76;Decrição produto 5390
02/10/2018;89.484,64;Decrição produto 1889
24/06/2019;54.654,26;Decrição produto 7240
04/04/2019;18.150,35;Decrição produto 1281
29/09/2018;12.806,23;Decrição produto 1085
02/05/2018;82.513,5;Decrição produto 9842
01/07/2019;59.913,20;Decrição produto 8622
25/07/2018;75.481,2;Decrição produto 7153
27/02/2019;79.968,29;Decrição produto 2461
04/08/2018;87.268,52;Decrição produto 8802
08/04/2019;64.712,5;Decrição produto 3685
20/07/2019;81.136,38;Decrição produto 5663
30/06/2018;43.443,80;Decrição produto 9228
17/06/2018;15.997,54;Decrição produto 8903
21/03/2019;66.916,98;Decrição produto 6503
08/12/2018;93.668,59;Decrição produto 2481
16/05/2019;33.285,56;Decrição produto 4867
26/09/2018;19.398,80;Decrição produto 8755
06/09/2018;75.442,74;Decrição produto 9437
03/05/2018;77.208,39;Decrição produto 5192
20/11/2018;65.367,44;Decrição produto 5457
27/03/2019;7.824,27;Decrição produto 9393
01/07/2019;38.576,51;Decrição produto 8587
10/01/2019;21.564,91;Decrição produto 6727
08/01/2019;94.877,39;Decrição produto 1537
27/11/2018;97.662,80;Decrição produto 2572
24/12/2018;75.767,55;Decrição produto 8372
21/10/2018;36.407,36;Decrição produto 1913
13/06/2018;90.102,1;Decrição produto 8878
10/10/2018;17.476,40;Decrição produto 8597
16/06/2019;20.311,59;Decrição produto 0043
30/10/2018;60.122,46;Decrição produto 7226
16/06/2018;54.316,46;Decrição produto 1428
09/06/2019;98.199,60;Decrição produto 2023
28/12/2018;50.404,45;Decrição produto 4907
19/01/2019;17.489,79;Decrição produto 6912
12/05/2018;10.872,17;Decrição produto 2281
29/05/2019;52.614,32;Decrição produto 4363
08/02/2019;43.600,40;Decrição produto 8234
12/08/2018;51.375,69;Decrição produto 5785
04/10/2018;26.961,58;Decrição produto 4630
17/05/2018;3.431,47;Decrição produto 1464
06/08/2019;56.952,2;Decrição produto 5769
06/12/2018;20.226,81;Decrição produto 0053
21/05/2019;14.185,93;Decrição produto 4434
06/09/2018;93.892,30;Decrição produto 2958
09/07/2019;31.977,68;Decrição produto 4055
19/05/2018;11.475,65;Decrição produto 9061
15/07/2018;89.259,46;Decrição produto 0823
18/04/2019;54.754,55;Decrição produto 3117
06/01/2019;22.249,89;Decrição produto 5388
23/07/2019;76.140,90;Decrição produto 3700
03/07/2019;73.245,88;Decrição produto 2086
14/06/2018;86.245,25;Decrição produto 1537
23/07/2019;28.888,85;Decrição produto 4653
23/09/2018;49.118,24;Decrição produto 0865
10/01/2019;53.787,27;Decrição produto 0813
05/05/2018;88.374,52;Decrição produto 8337
07/06/2018;14.405,35;Decrição produto 3021
31/12/2018;88.928,25;Decrição produto 0073
04/09/2018;2.799,38;Decrição produto 7779
23/08/2019;19.234,97;Decrição produto 1956
05/01/2019;39.944,38;Decrição produto 1236
29/11/2018;38.707,28;Decrição produto 6227
03/05/2018;4.833,55;Decrição produto 0098
03/07/2018;25.780,83;Decrição produto 2945
15/08/2019;68.198,72;Decrição produto 0926
01/05/2019;18.498,11;Decrição produto 6764
16/06/2018;80.759,55;Decrição produto 1282
15/05/2018;45.738,10;Decrição produto 0354
18/08/2018;77.215,29;Decrição produto 1108
06/05/2018;2.271,35;Decrição produto 8314
09/09/2018;66.375,5;Decrição produto 7481
04/09/2018;92.153,63;Decrição produto 5550
09/12/2018;26.369,24;Decrição produto 8794
21/06/2018;28.310,35;Decrição produto 1424
23/12/2018;35.216,60;Decrição produto 6787
14/01/2019;24.402,85;Decrição produto 4303
30/06/2018;24.435,74;Decrição produto 1690
31/12/2018;80.827,54;Decrição produto 1254
07/04/2019;84.328,23;Decrição produto 5151
03/03/2019;62.967,48;Decrição produto 8042
01/02/2019;87.751,56;Decrição produto 7457
01/03/2019;70.932,38;Decrição produto 2984
30/07/2019;15.196,63;Decrição produto 0660
22/05/2018;2.953,66;Decrição produto 0160
24/04/2019;65.122,48;Decrição produto 9481
29/01/2019;82.470,34;Decrição produto 4948
06/09/2019;46.171,11;Decrição produto 7437
28/06/2019;29.815,48;Decrição produto 9107
18/06/2019;48.212,46;Decrição produto 8377
15/06/2019;83.954,60;Decrição produto 3381
21/10/2018;34.614,75;Decrição produto 7999
01/09/2018;77.996,97;Decrição produto 8996
12/05/2018;41.867,28;Decrição produto 8276
23/07/2018;7.112,8;Decrição produto 4095
09/08/2018;85.559,80;Decrição produto 6618
03/05/2018;57.928,18;Decrição produto 5492
14/12/2018;48.682,91;Decrição produto 8005
21/06/2018;33.251,26;Decrição produto 8714
24/05/2018;88.595,7;Decrição produto 3294
10/11/2018;2.984,33;Decrição produto 7569
01/08/2019;40.159,76;Decrição produto 6503
28/08/2019;72.404,86;Decrição produto 4734
15/04/2019;58.792,37;Decrição produto 7014
21/05/2019;26.498,45;Decrição produto 6140
23/02/2019;30.985,2;Decrição produto 3679
10/03/2019;46.294,48;Decrição produto 8458
06/03/2019;80.844,55;Decrição produto 3562
23/05/2018;22.553,51;Decrição produto 6126
20/09/2018;23.953,19;Decrição produto 6024
13/08/2019;44.811,12;Decrição produto 4756
10/08/2019;50.680,28;Decrição produto 5595
06/02/2019;83.605,27;Decrição produto 6706
11/07/2019;20.863,31;Decrição produto 3348
09/10/2018;37.436,53;Decrição produto 5734
