ESTOQUE DE DÍVIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valores em R$ 1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISCRIMINAÇÃO de credores;ANO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO;;;;;;;;;;;;;;
1.1.1.1.10.2 - Lei 8.727/93 GOVERNO TJLP;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.10.3 - Lei 8.727/93 GOVERNO TR;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.10.4 - Lei 8.727/93 Outros;1996;318.495.030,00;442.818.700,20;1.076.204.114,60;0,00;2.835.174.498,20;388.160.811,80;0,00;221.734.162,60;2.950.025.080,00;1.610.139.737,00;1.264.657.728,60;699.851.926,20;1.496.859.688,60;444.408.982,20;1.067.719.492,40;696.723.332,20;733.708.302,40;356.551.618,40;584.477.486,80;395.242.244,00;181.889.803,00;53.455.302,60;1.355.509.080,98;438.082.154,40;306.746.688,60;2.228.140.992,00;83.049.099,40;;;;;;;;;;;;;;
1.1.1.1.11 - Lei 9.496/97;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.1 - Principal;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.4 - PROES Extralimite;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.5 - PROES Intralimite;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.6 - Precatórios;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.7  - Conta Gráfica Estoque;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.12 - CEF/VOTO 162;1996;23.341.460,00;249.314.582,00;0,00;0,00;93.051.773,00;0,00;0,00;144.236.140,00;172.604.632,00;79.535.000,00;614.598.286,40;121.469.377,00;164.171.000,00;129.697.138,00;0,00;105.863.000,00;115.306.536,00;0,00;230.040.705,00;0,00;66.608.680,00;15.201.085,49;366.886.170,66;75.942.899,00;67.101.213,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.13 - CEF (outras);1996;4.659.520,00;0,00;0,00;64.090.000,00;51.888.000,00;56.106.000,00;156.460.000,00;58.149.000,00;32.606.000,00;0,00;70.738.970,00;0,00;0,00;75.686.770,00;17.647.000,00;153.143.000,00;10.872.000,00;23.724.000,00;161.233.000,00;662.530,00;5.384.000,00;6.357.261,78;23.573.034,00;0,00;23.998.000,00;0,00;21.678.000,00;;;;;;;;;;;;;;
1.1.1.1.14 - Parcelamento - PIS/PASEP;1996;562.000,00;0,00;286.000,00;0,00;0,00;0,00;0,00;0,00;36.098.000,00;0,00;0,00;0,00;11.851.000,00;0,00;0,00;0,00;2.170.000,00;0,00;92.300.000,00;5.825.357,00;3.776.000,00;0,00;9.735.760,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.15 - B.Brasil;1996;0,00;0,00;0,00;0,00;20.031.000,00;0,00;149.654.000,00;6.274.000,00;0,00;0,00;12.717.260,00;0,00;88.821.000,00;0,00;57.873.000,00;0,00;22.205.000,00;0,00;32.270.000,00;0,00;31.854.000,00;0,00;0,00;0,00;0,00;40.512.000,00;0,00;;;;;;;;;;;;;;
1.1.1.1.16 - BNDES;1996;141.000,00;0,00;0,00;0,00;68.330.000,00;14.616.820,00;182.970.000,00;121.642.000,00;64.625.000,00;0,00;15.509.830,00;0,00;0,00;0,00;1.541.000,00;0,00;8.556.000,00;0,00;208.403.000,00;0,00;0,00;0,00;0,00;25.337.000,00;63.578.000,00;49.780.000,00;0,00;;;;;;;;;;;;;;
1.1.1.1.17 - Outros Bancos Federais;1996;0,00;27.757.000,00;0,00;0,00;11.113.000,00;69.914.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;82.540.000,00;0,00;3.344.000,00;0,00;0,00;0,00;0,00;0,00;0,00;3.588.000,00;5.158.000,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.18 - Demais Dívidas com a União;1996;2.062.000,00;0,00;0,00;0,00;10.802.000,00;0,00;464.000,00;0,00;0,00;0,00;0,00;0,00;4.282.000,00;0,00;14.696.000,00;0,00;0,00;491.110.000,00;65.372.000,00;15.120.824,00;0,00;0,00;1.488.621,00;388.488.000,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2 - Outras Dívidas Contratuais;1996;0,00;63.272.000,00;0,00;0,00;47.328.000,00;3.656.730,00;147.807.000,00;8.228.000,00;1.138.000,00;120.230.222,81;847.248.200,00;185.072.500,00;195.593.000,00;4.410.400,00;72.898.000,00;0,00;0,00;388.848.000,00;411.480.000,00;0,00;107.415.000,00;0,00;9.718.659,00;167.328.000,00;0,00;14.335.765.000,00;0,00;;;;;;;;;;;;;;
1.1.1.2.1 - Bancos Estaduais;1996;0,00;0,00;0,00;0,00;36.092.000,00;0,00;147.807.000,00;0,00;1.138.000,00;0,00;0,00;0,00;52.085.000,00;0,00;0,00;0,00;0,00;388.848.000,00;411.480.000,00;0,00;76.219.000,00;0,00;2.556.469,00;167.328.000,00;0,00;14.335.765.000,00;0,00;;;;;;;;;;;;;;
1.1.1.2.2 - Bancos Privados;1996;0,00;5.133.000,00;0,00;0,00;10.058.000,00;1.029.730,00;0,00;0,00;0,00;0,00;0,00;185.072.500,00;143.508.000,00;0,00;60.818.000,00;0,00;0,00;0,00;0,00;0,00;31.196.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.3 - Demais;1996;0,00;58.139.000,00;0,00;0,00;1.178.000,00;2.627.000,00;0,00;8.228.000,00;0,00;120.230.222,81;847.248.200,00;0,00;0,00;4.410.400,00;12.080.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.162.190,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.2 - Mobiliária Interna;1996;0,00;404.000.000,00;0,00;0,00;738.000.000,00;98.000.000,00;0,00;122.000.000,00;701.000.000,00;0,00;8.773.000.000,00;272.000.000,00;179.673.000,00;0,00;54.000.000,00;569.000.000,00;0,00;390.000.000,00;5.935.000.000,00;0,00;0,00;0,00;6.543.120.901,00;1.451.000.000,00;196.000.000,00;18.723.000.000,00;0,00;;;;;;;;;;;;;;
1.1.2.1 - Principal;1996;0,00;404.000.000,00;0,00;0,00;738.000.000,00;98.000.000,00;0,00;122.000.000,00;701.000.000,00;0,00;8.773.000.000,00;272.000.000,00;179.673.000,00;0,00;54.000.000,00;569.000.000,00;0,00;390.000.000,00;5.935.000.000,00;0,00;0,00;0,00;6.543.120.901,00;1.451.000.000,00;196.000.000,00;18.723.000.000,00;0,00;;;;;;;;;;;;;;
1.2 - Fundada Externa;1996;0,00;0,00;268.000,00;8.260.000,00;228.189.000,00;245.349.060,00;88.941.000,00;89.128.000,00;43.793.000,00;14.159.678,16;504.474.570,00;1.095.800,00;0,00;67.915.500,00;315.000,00;123.675.000,00;2.964.000,00;416.773.000,00;52.619.000,00;0,00;0,00;0,00;269.643.539,00;231.032.000,00;19.516.000,00;294.005.000,00;54.934.000,00;;;;;;;;;;;;;;
1.2.1 - Contratual;1996;0,00;0,00;268.000,00;8.260.000,00;228.189.000,00;245.349.060,00;88.941.000,00;89.128.000,00;43.793.000,00;14.159.678,16;296.594.570,00;1.095.800,00;0,00;67.915.500,00;315.000,00;123.675.000,00;2.964.000,00;416.773.000,00;50.280.000,00;0,00;0,00;0,00;269.643.539,00;231.032.000,00;19.516.000,00;294.005.000,00;54.934.000,00;;;;;;;;;;;;;;
1.2.1.1 - Sem aval do Tesouro Nacional;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17.359.000,00;0,00;0,00;2.179.000,00;0,00;0,00;0,00;0,00;9.141.000,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.1.2 - Com aval do TN até 30/09/91;1996;0,00;0,00;268.000,00;0,00;105.727.000,00;98.311.980,00;88.941.000,00;62.362.000,00;43.793.000,00;0,00;170.139.780,00;0,00;0,00;43.747.830,00;315.000,00;0,00;0,00;286.602.000,00;0,00;0,00;0,00;0,00;158.433.539,00;141.931.000,00;10.057.000,00;151.385.000,00;54.934.000,00;;;;;;;;;;;;;;
1.2.1.3 - Com aval do TN após 30/09/91;1996;0,00;0,00;0,00;8.260.000,00;122.462.000,00;147.037.080,00;0,00;26.766.000,00;0,00;14.159.678,16;126.454.790,00;1.095.800,00;0,00;24.167.670,00;0,00;106.316.000,00;2.964.000,00;130.171.000,00;48.101.000,00;0,00;0,00;0,00;111.210.000,00;79.960.000,00;9.459.000,00;142.620.000,00;0,00;;;;;;;;;;;;;;
1.2.2 - Mobiliária Externa;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;207.880.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.339.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.2.1 - Principal;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;207.880.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.339.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2 - Flutuante;1996;0,00;52.903.000,00;0,00;0,00;0,00;0,00;0,00;24.059.000,00;0,00;0,00;309.122.410,00;79.418.334,00;39.633.000,00;23.136.064,00;0,00;0,00;21.801.126,00;0,00;0,00;20.189.000,00;20.051.664,00;825.420,00;137.809.732,00;143.568.646,00;0,00;0,00;14.760.000,00;;;;;;;;;;;;;;
2.1 - Empreiteiros;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.2 - Fornecedores;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.3 - Autofinanciamentos;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.4 - Folha de Pagamentos;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.5 - AROs;1996;0,00;52.903.000,00;0,00;0,00;0,00;0,00;0,00;24.059.000,00;0,00;0,00;309.122.410,00;79.418.334,00;39.633.000,00;23.136.064,00;0,00;0,00;21.801.126,00;0,00;0,00;20.189.000,00;20.051.664,00;825.420,00;137.809.732,00;143.568.646,00;0,00;0,00;14.760.000,00;;;;;;;;;;;;;;
2.6 - INSS;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.7 - FGTS;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.8 - PIS/PASEP e Inst. de Pensão;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.9 - Precatórios;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.10 - Outras;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
TOTAL ADM. DIRETA;1996;434.596.460,00;1.336.063.226,80;1.288.625.760,60;72.350.000,00;4.821.292.351,20;1.579.798.396,40;726.296.000,00;970.495.656,60;5.291.159.576,02;2.390.082.631,32;12.977.296.020,80;1.862.211.402,20;2.766.082.369,20;913.267.454,00;1.681.208.520,60;1.980.472.059,20;1.129.875.691,80;2.298.261.685,00;8.373.711.660,00;553.568.706,80;487.427.727,00;75.839.069,87;9.215.137.103,10;3.547.264.567,80;706.458.319,40;36.173.823.874,20;202.021.099,40;;;;;;;;;;;;;;
3 - DÍVIDA FUNDADA - Adm. Indireta;1996;61.570.940,00;0,00;50.452.000,00;0,00;230.068.574,80;334.896.758,80;188.328.000,00;0,00;48.711.000,00;0,00;372.460.541,40;21.538.500,00;161.265.192,60;197.845.632,40;76.571.000,00;559.197.134,00;198.913.471,80;416.512.525,60;484.912.366,00;0,00;25.699.000,00;2.684.136,16;0,00;198.843.000,00;268.745.698,80;14.748.795.543,80;989.000,00;;;;;;;;;;;;;;
3.1 -   Fundada Interna;1996;61.570.940,00;0,00;50.452.000,00;0,00;230.045.574,80;334.896.758,80;188.328.000,00;0,00;48.711.000,00;0,00;372.460.541,40;21.538.500,00;161.265.192,60;197.845.632,40;76.571.000,00;559.197.134,00;195.795.471,80;416.512.525,60;484.912.366,00;0,00;0,00;2.684.136,16;0,00;198.843.000,00;257.045.698,80;14.601.809.543,80;989.000,00;;;;;;;;;;;;;;
3.1.1 - Contratual;1996;61.570.940,00;0,00;50.452.000,00;0,00;230.045.574,80;334.896.758,80;188.328.000,00;0,00;48.711.000,00;0,00;372.460.541,40;21.538.500,00;161.265.192,60;197.845.632,40;76.571.000,00;559.197.134,00;195.795.471,80;416.512.525,60;484.912.366,00;0,00;0,00;2.684.136,16;0,00;198.843.000,00;257.045.698,80;14.601.809.543,80;989.000,00;;;;;;;;;;;;;;
3.1.1.1 - União;1996;61.570.940,00;0,00;50.452.000,00;0,00;227.712.574,80;334.896.758,80;188.328.000,00;0,00;4.354.000,00;0,00;369.538.921,40;21.538.500,00;161.265.192,60;197.845.632,40;76.571.000,00;559.053.134,00;195.795.471,80;416.512.525,60;484.912.366,00;0,00;0,00;2.684.136,16;0,00;198.843.000,00;257.045.698,80;2.177.581.543,80;989.000,00;;;;;;;;;;;;;;
3.1.1.1.1 - BIB;1996;0,00;0,00;0,00;0,00;2.713.873,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.846.916,60;4.856.076,80;0,00;0,00;196.446,60;0,00;7.174.978,20;0,00;0,00;0,00;0,00;0,00;1.197.388,80;31.684.030,20;0,00;;;;;;;;;;;;;;
3.1.1.1.2 - BEA;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.3 - Clube de Paris;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.924.191,20;0,00;0,00;0,00;0,00;0,00;0,00;321.490.000,00;0,00;;;;;;;;;;;;;;
3.1.1.1.4 - DMLP;1996;0,00;0,00;0,00;0,00;32.447.989,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;91.402.000,00;48.497.364,60;0,00;0,00;41.185.185,60;0,00;48.101.000,00;0,00;0,00;0,00;0,00;0,00;0,00;453.121.233,00;0,00;;;;;;;;;;;;;;
3.1.1.1.5 - Lei 7.976/89;1996;0,00;0,00;0,00;0,00;8.328.712,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.758.276,00;6.069.056,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.469.711,60;1.270.977.280,60;0,00;;;;;;;;;;;;;;
3.1.1.1.6 - Parc.  FGTS até 31/03/96;1996;0,00;0,00;4.151.000,00;0,00;0,00;0,00;0,00;0,00;4.354.000,00;0,00;0,00;0,00;57.779.000,00;0,00;58.264.000,00;0,00;0,00;0,00;0,00;0,00;0,00;2.164.839,29;0,00;0,00;0,00;78.304.000,00;989.000,00;;;;;;;;;;;;;;
3.1.1.1.7 - Parc.  FGTS após 31/03/96;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.8 - Parc.  INSS até 01/12/92;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.9 - Parc.  INSS após 01/12/92;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.10 - Lei 8.727/93;1996;61.570.940,00;0,00;0,00;0,00;0,00;334.896.758,80;0,00;0,00;0,00;0,00;369.538.921,40;0,00;0,00;138.423.134,40;0,00;547.878.134,00;153.346.839,60;416.512.525,60;414.657.196,60;0,00;0,00;0,00;0,00;119.863.000,00;254.378.598,40;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.11 - Lei 9.496/97;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.12 - CEF/VOTO 162;1996;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
